user_id,username,age,gender,region,member_status,registration_date
1,user_0001,58,male,東京,gold,2024-08-09
2,user_0002,33,male,大阪,gold,2025-02-02
3,user_0003,61,other,北海道,regular,2023-09-21
4,user_0004,45,male,東京,regular,2024-10-06
5,user_0005,32,other,北海道,regular,2023-10-21
6,user_0006,30,other,北海道,premium,2024-10-04
7,user_0007,46,other,愛知,regular,2023-04-01
8,user_0008,69,male,福岡,premium,2024-08-06
9,user_0009,27,male,愛知,regular,2025-02-12
10,user_0010,42,male,愛知,premium,2023-09-07
11,user_0011,34,male,福岡,gold,2025-01-10
12,user_0012,80,female,東京,gold,2024-07-21
13,user_0013,71,other,北海道,premium,2023-10-04
14,user_0014,30,other,東京,regular,2023-07-10
15,user_0015,32,female,東京,regular,2022-12-12
16,user_0016,24,female,愛知,premium,2023-08-06
17,user_0017,71,female,大阪,premium,2024-05-19
18,user_0018,31,other,愛知,gold,2022-10-01
19,user_0019,61,other,東京,gold,2023-08-06
20,user_0020,28,other,大阪,regular,2024-01-30
21,user_0021,42,female,北海道,regular,2023-06-16
22,user_0022,38,male,大阪,regular,2023-02-13
23,user_0023,38,female,愛知,regular,2024-10-13
24,user_0024,76,other,愛知,regular,2023-07-16
25,user_0025,49,female,福岡,regular,2024-08-19
26,user_0026,26,male,北海道,gold,2024-08-21
27,user_0027,65,other,福岡,gold,2024-04-04
28,user_0028,41,male,大阪,gold,2023-12-29
29,user_0029,23,male,東京,regular,2023-08-14
30,user_0030,28,other,福岡,gold,2025-03-13
31,user_0031,42,female,北海道,premium,2023-11-23
32,user_0032,34,other,東京,gold,2023-05-10
33,user_0033,25,other,北海道,premium,2023-03-22
34,user_0034,59,female,東京,premium,2024-02-27
35,user_0035,28,female,東京,gold,2022-12-03
36,user_0036,64,female,北海道,regular,2023-12-15
37,user_0037,76,male,愛知,gold,2023-12-15
38,user_0038,56,male,大阪,premium,2023-03-29
39,user_0039,28,other,北海道,regular,2023-09-12
40,user_0040,38,female,東京,regular,2022-10-09
41,user_0041,41,female,大阪,regular,2024-09-13
42,user_0042,74,other,東京,regular,2023-04-29
43,user_0043,49,male,北海道,regular,2025-01-06
44,user_0044,60,female,北海道,regular,2024-08-19
45,user_0045,51,other,福岡,regular,2022-10-09
46,user_0046,52,other,大阪,gold,2024-07-02
47,user_0047,43,other,愛知,premium,2022-11-08
48,user_0048,51,female,東京,regular,2024-09-29
49,user_0049,22,female,東京,gold,2023-10-28
50,user_0050,32,other,大阪,regular,2025-03-06
51,user_0051,63,other,東京,regular,2025-03-09
52,user_0052,75,male,愛知,regular,2023-12-08
53,user_0053,33,female,福岡,regular,2023-11-12
54,user_0054,26,other,北海道,gold,2024-01-19
55,user_0055,33,female,福岡,regular,2025-02-10
56,user_0056,24,other,福岡,premium,2024-03-10
57,user_0057,44,female,東京,gold,2023-07-18
58,user_0058,80,other,東京,regular,2024-03-31
59,user_0059,64,female,東京,regular,2024-11-02
60,user_0060,30,other,福岡,regular,2024-03-11
61,user_0061,29,female,福岡,regular,2022-12-04
62,user_0062,77,male,福岡,gold,2025-02-06
63,user_0063,21,other,北海道,regular,2022-08-29
64,user_0064,23,male,大阪,premium,2024-01-06
65,user_0065,48,male,福岡,regular,2024-11-30
66,user_0066,42,male,福岡,premium,2022-10-12
67,user_0067,68,female,愛知,premium,2023-06-04
68,user_0068,79,other,北海道,gold,2023-05-13
69,user_0069,49,male,大阪,premium,2024-10-07
70,user_0070,79,male,北海道,gold,2023-11-09
71,user_0071,21,other,愛知,regular,2025-03-27
72,user_0072,55,female,北海道,gold,2024-12-07
73,user_0073,21,other,東京,regular,2025-03-08
74,user_0074,56,male,大阪,premium,2025-01-15
75,user_0075,78,other,大阪,gold,2023-09-17
76,user_0076,20,other,東京,premium,2023-07-14
77,user_0077,55,other,北海道,premium,2022-10-03
78,user_0078,34,male,愛知,regular,2024-08-19
79,user_0079,43,male,愛知,premium,2024-06-28
80,user_0080,77,male,東京,premium,2023-08-20
81,user_0081,54,male,東京,gold,2024-10-11
82,user_0082,50,female,大阪,premium,2022-11-27
83,user_0083,22,male,愛知,premium,2024-12-07
84,user_0084,46,other,愛知,gold,2023-02-11
85,user_0085,59,other,東京,gold,2023-02-01
86,user_0086,53,female,東京,regular,2024-08-20
87,user_0087,25,male,北海道,regular,2024-08-12
88,user_0088,36,other,大阪,gold,2024-05-31
89,user_0089,31,other,愛知,gold,2024-01-03
90,user_0090,34,male,東京,gold,2024-03-10
91,user_0091,71,female,東京,regular,2024-06-10
92,user_0092,67,male,愛知,regular,2023-04-19
